fact_id,date_key,hs_code,country_key,trade_flow_key,is_total,trade_value_usd_million,observation_status,reported_quantity_unit,source_report_date,source_file
24258,202211,71039110,SINGAPORE,export,0,0.0,R,CTM,2026-08-21,gemstrategy_data/raw/export/71039110/71039110_2022_11.html
24259,202211,71039110,SLOVENIA,export,0,0.0,R,CTM,2026-08-21,gemstrategy_data/raw/export/71039110/71039110_2022_11.html
24260,202211,71039110,SOUTH AFRICA,export,0,0.0,R,CTM,2026-08-21,gemstrategy_data/raw/export/71039110/71039110_2022_11.html
24261,202211,71039110,SPAIN,export,0,0.0,R,CTM,2026-08-21,gemstrategy_data/raw/export/71039110/71039110_2022_11.html
24262,202211,71039110,SRI LANKA DSR,export,0,0.0,R,CTM,2026-08-21,gemstrategy_data/raw/export/71039110/71039110_2022_11.html
24263,202211,71039110,SWEDEN,export,0,0.0,R,CTM,2026-08-21,gemstrategy_data/raw/export/71039110/71039110_2022_11.html
24264,202211,71039110,SWITZERLAND,export,0,0.02,R,CTM,2026-08-21,gemstrategy_data/raw/export/71039110/71039110_2022_11.html
24265,202211,71039110,TAIWAN,export,0,0.0,R,CTM,2026-08-21,gemstrategy_data/raw/export/71039110/71039110_2022_11.html
24266,202211,71039110,TANZANIA REP,export,0,0.0,R,CTM,2026-08-21,gemstrategy_data/raw/export/71039110/71039110_2022_11.html
24267,202211,71039110,THAILAND,export,0,0.09,R,CTM,2026-08-21,gemstrategy_data/raw/export/71039110/71039110_2022_11.html
24268,202211,71039110,TURKEY,export,0,0.0,R,CTM,2026-08-21,gemstrategy_data/raw/export/71039110/71039110_2022_11.html
24269,202211,71039110,U ARAB EMTS,export,0,0.08,R,CTM,2026-08-21,gemstrategy_data/raw/export/71039110/71039110_2022_11.html
24270,202211,71039110,U K,export,0,0.01,R,CTM,2026-08-21,gemstrategy_data/raw/export/71039110/71039110_2022_11.html
24271,202211,71039110,U S A,export,0,0.23,R,CTM,2026-08-21,gemstrategy_data/raw/export/71039110/71039110_2022_11.html
24272,202211,71039110,UKRAINE,export,0,0.0,R,CTM,2026-08-21,gemstrategy_data/raw/export/71039110/71039110_2022_11.html
24273,202211,71039110,VIETNAM SOC REP,export,0,0.01,R,CTM,2026-08-21,gemstrategy_data/raw/export/71039110/71039110_2022_11.html
24274,202211,71039110,TOTAL,export,1,6.52,R,CTM,2026-08-21,gemstrategy_data/raw/export/71039110/71039110_2022_11.html
24275,202211,71039120,ARMENIA,export,0,0.02,R,CTM,2026-08-21,gemstrategy_data/raw/export/71039120/71039120_2022_11.html
24276,202211,71039120,AUSTRALIA,export,0,0.01,R,CTM,2026-08-21,gemstrategy_data/raw/export/71039120/71039120_2022_11.html
24277,202211,71039120,AUSTRIA,export,0,0.16,R,CTM,2026-08-21,gemstrategy_data/raw/export/71039120/71039120_2022_11.html
24278,202211,71039120,BAHARAIN IS,export,0,0.19,R,CTM,2026-08-21,gemstrategy_data/raw/export/71039120/71039120_2022_11.html
24279,202211,71039120,BANGLADESH PR,export,0,0.0,R,CTM,2026-08-21,gemstrategy_data/raw/export/71039120/71039120_2022_11.html
24280,202211,71039120,BELGIUM,export,0,0.0,R,CTM,2026-08-21,gemstrategy_data/raw/export/71039120/71039120_2022_11.html
24281,202211,71039120,BRAZIL,export,0,0.01,R,CTM,2026-08-21,gemstrategy_data/raw/export/71039120/71039120_2022_11.html
24282,202211,71039120,BULGARIA,export,0,0.0,R,CTM,2026-08-21,gemstrategy_data/raw/export/71039120/71039120_2022_11.html
24283,202211,71039120,CANADA,export,0,0.0,R,CTM,2026-08-21,gemstrategy_data/raw/export/71039120/71039120_2022_11.html
24284,202211,71039120,CHILE,export,0,0.0,R,CTM,2026-08-21,gemstrategy_data/raw/export/71039120/71039120_2022_11.html
24285,202211,71039120,CHINA P RP,export,0,0.0,R,CTM,2026-08-21,gemstrategy_data/raw/export/71039120/71039120_2022_11.html
24286,202211,71039120,COLOMBIA,export,0,0.0,R,CTM,2026-08-21,gemstrategy_data/raw/export/71039120/71039120_2022_11.html
24287,202211,71039120,CONGO D. REP.,export,0,0.0,R,CTM,2026-08-21,gemstrategy_data/raw/export/71039120/71039120_2022_11.html
24288,202211,71039120,CYPRUS,export,0,0.0,R,CTM,2026-08-21,gemstrategy_data/raw/export/71039120/71039120_2022_11.html
24289,202211,71039120,CZECH REPUBLIC,export,0,0.0,R,CTM,2026-08-21,gemstrategy_data/raw/export/71039120/71039120_2022_11.html
24290,202211,71039120,DENMARK,export,0,0.0,R,CTM,2026-08-21,gemstrategy_data/raw/export/71039120/71039120_2022_11.html
24291,202211,71039120,EL SALVADOR,export,0,0.0,R,CTM,2026-08-21,gemstrategy_data/raw/export/71039120/71039120_2022_11.html
24292,202211,71039120,FIJI IS,export,0,0.0,R,CTM,2026-08-21,gemstrategy_data/raw/export/71039120/71039120_2022_11.html
24293,202211,71039120,FRANCE,export,0,0.02,R,CTM,2026-08-21,gemstrategy_data/raw/export/71039120/71039120_2022_11.html
24294,202211,71039120,GERMANY,export,0,0.03,R,CTM,2026-08-21,gemstrategy_data/raw/export/71039120/71039120_2022_11.html
24295,202211,71039120,GHANA,export,0,0.0,R,CTM,2026-08-21,gemstrategy_data/raw/export/71039120/71039120_2022_11.html
24296,202211,71039120,GIBRALTAR,export,0,0.0,R,CTM,2026-08-21,gemstrategy_data/raw/export/71039120/71039120_2022_11.html
24297,202211,71039120,GREECE,export,0,0.0,R,CTM,2026-08-21,gemstrategy_data/raw/export/71039120/71039120_2022_11.html
24298,202211,71039120,GUATEMALA,export,0,0.0,R,CTM,2026-08-21,gemstrategy_data/raw/export/71039120/71039120_2022_11.html
24299,202211,71039120,HONG KONG,export,0,0.23,R,CTM,2026-08-21,gemstrategy_data/raw/export/71039120/71039120_2022_11.html
24300,202211,71039120,INDONESIA,export,0,0.0,R,CTM,2026-08-21,gemstrategy_data/raw/export/71039120/71039120_2022_11.html
24301,202211,71039120,ISRAEL,export,0,0.01,R,CTM,2026-08-21,gemstrategy_data/raw/export/71039120/71039120_2022_11.html
24302,202211,71039120,ITALY,export,0,0.12,R,CTM,2026-08-21,gemstrategy_data/raw/export/71039120/71039120_2022_11.html
24303,202211,71039120,JAPAN,export,0,0.04,R,CTM,2026-08-21,gemstrategy_data/raw/export/71039120/71039120_2022_11.html
24304,202211,71039120,JORDAN,export,0,0.0,R,CTM,2026-08-21,gemstrategy_data/raw/export/71039120/71039120_2022_11.html
24305,202211,71039120,KAZAKHSTAN,export,0,0.0,R,CTM,2026-08-21,gemstrategy_data/raw/export/71039120/71039120_2022_11.html
24306,202211,71039120,KOREA RP,export,0,0.0,R,CTM,2026-08-21,gemstrategy_data/raw/export/71039120/71039120_2022_11.html
24307,202211,71039120,KUWAIT,export,0,0.0,R,CTM,2026-08-21,gemstrategy_data/raw/export/71039120/71039120_2022_11.html
24308,202211,71039120,LEBANON,export,0,0.01,R,CTM,2026-08-21,gemstrategy_data/raw/export/71039120/71039120_2022_11.html
24309,202211,71039120,LIECHTENSTEIN,export,0,0.0,R,CTM,2026-08-21,gemstrategy_data/raw/export/71039120/71039120_2022_11.html
24310,202211,71039120,LITHUANIA,export,0,0.0,R,CTM,2026-08-21,gemstrategy_data/raw/export/71039120/71039120_2022_11.html
24311,202211,71039120,MACAO,export,0,0.0,R,CTM,2026-08-21,gemstrategy_data/raw/export/71039120/71039120_2022_11.html
24312,202211,71039120,MALAYSIA,export,0,0.0,R,CTM,2026-08-21,gemstrategy_data/raw/export/71039120/71039120_2022_11.html
24313,202211,71039120,MALTA,export,0,0.0,R,CTM,2026-08-21,gemstrategy_data/raw/export/71039120/71039120_2022_11.html
24314,202211,71039120,MAURITIUS,export,0,0.0,R,CTM,2026-08-21,gemstrategy_data/raw/export/71039120/71039120_2022_11.html
24315,202211,71039120,MEXICO,export,0,0.0,R,CTM,2026-08-21,gemstrategy_data/raw/export/71039120/71039120_2022_11.html
24316,202211,71039120,MONACO,export,0,0.0,R,CTM,2026-08-21,gemstrategy_data/raw/export/71039120/71039120_2022_11.html
24317,202211,71039120,MONTENEGRO,export,0,0.0,R,CTM,2026-08-21,gemstrategy_data/raw/export/71039120/71039120_2022_11.html
24318,202211,71039120,MOROCCO,export,0,0.0,R,CTM,2026-08-21,gemstrategy_data/raw/export/71039120/71039120_2022_11.html
24319,202211,71039120,NEPAL,export,0,0.04,R,CTM,2026-08-21,gemstrategy_data/raw/export/71039120/71039120_2022_11.html
24320,202211,71039120,NETHERLAND,export,0,0.0,R,CTM,2026-08-21,gemstrategy_data/raw/export/71039120/71039120_2022_11.html
24321,202211,71039120,NEW ZEALAND,export,0,0.0,R,CTM,2026-08-21,gemstrategy_data/raw/export/71039120/71039120_2022_11.html
24322,202211,71039120,NIGERIA,export,0,0.0,R,CTM,2026-08-21,gemstrategy_data/raw/export/71039120/71039120_2022_11.html
24323,202211,71039120,NORWAY,export,0,0.0,R,CTM,2026-08-21,gemstrategy_data/raw/export/71039120/71039120_2022_11.html
24324,202211,71039120,OMAN,export,0,0.0,R,CTM,2026-08-21,gemstrategy_data/raw/export/71039120/71039120_2022_11.html
24325,202211,71039120,PANAMA REPUBLIC,export,0,0.0,R,CTM,2026-08-21,gemstrategy_data/raw/export/71039120/71039120_2022_11.html
24326,202211,71039120,PERU,export,0,0.0,R,CTM,2026-08-21,gemstrategy_data/raw/export/71039120/71039120_2022_11.html
24327,202211,71039120,PHILIPPINES,export,0,0.0,R,CTM,2026-08-21,gemstrategy_data/raw/export/71039120/71039120_2022_11.html
24328,202211,71039120,POLAND,export,0,0.0,R,CTM,2026-08-21,gemstrategy_data/raw/export/71039120/71039120_2022_11.html
24329,202211,71039120,PORTUGAL,export,0,0.0,R,CTM,2026-08-21,gemstrategy_data/raw/export/71039120/71039120_2022_11.html
24330,202211,71039120,QATAR,export,0,0.0,R,CTM,2026-08-21,gemstrategy_data/raw/export/71039120/71039120_2022_11.html
24331,202211,71039120,ROMANIA,export,0,0.0,R,CTM,2026-08-21,gemstrategy_data/raw/export/71039120/71039120_2022_11.html
24332,202211,71039120,RUSSIA,export,0,0.0,R,CTM,2026-08-21,gemstrategy_data/raw/export/71039120/71039120_2022_11.html
24333,202211,71039120,SAUDI ARAB,export,0,0.0,R,CTM,2026-08-21,gemstrategy_data/raw/export/71039120/71039120_2022_11.html
24334,202211,71039120,SINGAPORE,export,0,0.0,R,CTM,2026-08-21,gemstrategy_data/raw/export/71039120/71039120_2022_11.html
24335,202211,71039120,SLOVENIA,export,0,0.0,R,CTM,2026-08-21,gemstrategy_data/raw/export/71039120/71039120_2022_11.html
24336,202211,71039120,SOUTH AFRICA,export,0,0.0,R,CTM,2026-08-21,gemstrategy_data/raw/export/71039120/71039120_2022_11.html
24337,202211,71039120,SPAIN,export,0,0.02,R,CTM,2026-08-21,gemstrategy_data/raw/export/71039120/71039120_2022_11.html
